dataset,model,n,roc_auc,pr_auc,accuracy,precision,recall,f1,fpr,fnr,tp,tn,fp,fn,mean_prob_real,median_prob_real,mean_prob_ai,median_prob_ai
E14_Clean,E6-C,200,0.84265,0.8492660584027687,0.755,0.7628865979381443,0.74,0.7512690355329948,0.23,0.26,74,77,23,26,0.25687501072883606,0.113006591796875,0.7206771278381348,0.88330078125
E14_Clean,E20,200,0.77655,0.7745932253330645,0.65,0.8947368421052632,0.34,0.4927536231884058,0.04,0.66,34,96,4,66,0.09131466209888459,0.01732635498046875,0.35604783058166506,0.2674560546875
E14_Degraded,E6-C,600,0.7640055555555556,0.7722784366963309,0.6583333333333333,0.7844311377245509,0.43666666666666665,0.5610278372591007,0.12,0.5633333333333334,131,264,36,169,0.14877827147642772,0.02489471435546875,0.4529844621817271,0.4132080078125
E14_Degraded,E20,600,0.7980166666666667,0.8012935647023274,0.6416666666666667,0.897196261682243,0.32,0.47174447174447176,0.03666666666666667,0.68,96,289,11,204,0.07688220858573913,0.0130462646484375,0.34227877855300903,0.2137451171875
E19_Smartphone_Benchmark,E6-C,200,0.78535,0.7704965545422031,0.695,0.7746478873239436,0.55,0.6432748538011696,0.16,0.45,55,84,16,45,0.1891918247938156,0.032562255859375,0.5491657876968383,0.67431640625
E19_Smartphone_Benchmark,E20,200,0.977,0.9708485272539816,0.865,0.9866666666666667,0.74,0.8457142857142858,0.01,0.26,74,99,1,26,0.02823421061038971,0.0033617019653320312,0.7390297794342041,0.913818359375
E19_WhatsApp_Subset,E6-C,60,0.30444444444444446,0.3746181994770598,0.36666666666666664,0.2777777777777778,0.16666666666666666,0.20833333333333334,0.43333333333333335,0.8333333333333334,5,17,13,25,0.45517559051513673,0.3551025390625,0.1864381790161133,0.065673828125
E19_WhatsApp_Subset,E20,60,0.8911111111111111,0.8686986061514421,0.7333333333333333,0.9375,0.5,0.6521739130434783,0.03333333333333333,0.5,15,29,1,15,0.06801985104878744,0.012447357177734375,0.4985594431559245,0.51708984375
WhatsApp_N67_Benchmark,E6-C,67,0.6550802139037433,0.6828057835176367,0.6119402985074627,0.8181818181818182,0.2727272727272727,0.4090909090909091,0.058823529411764705,0.7272727272727273,9,32,2,24,0.10799562405137454,0.0451507568359375,0.27769823869069415,0.1639404296875
WhatsApp_N67_Benchmark,E20,67,0.5320855614973262,0.5367080428338676,0.5223880597014925,0.52,0.3939393939393939,0.44827586206896547,0.35294117647058826,0.6060606060606061,13,22,12,20,0.39534153657801013,0.3807373046875,0.43767732562440814,0.38330078125
